station_id,datetime,total_ports,available_ports,wait_time_min,charging_rate_kw,charger_type,plug_type,city
6,2025-07-08 09:51:40,7,0,43,27.25,DC_FAST,Type2,Hyderabad
5,2025-07-04 14:01:40,9,0,39,16.75,AC_LEVEL2,CCS,Hyderabad
3,2025-07-09 21:02:40,6,0,24,12.0,AC_LEVEL1,Type2,Gurugram
7,2025-07-03 21:14:40,10,0,41,14.5,AC_LEVEL2,Type2,Mumbai
8,2025-07-08 00:12:40,6,0,21,30.0,DC_FAST,CCS,Mumbai
1,2025-07-05 00:39:40,10,0,38,15.0,AC_LEVEL2,Type2,Bangalore
8,2025-07-06 06:50:40,6,0,29,30.0,DC_FAST,CCS,Mumbai
2,2025-07-09 16:21:40,8,0,39,25.5,DC_FAST,CCS,Bangalore
1,2025-07-09 16:41:40,10,0,40,15.0,AC_LEVEL2,Type2,Bangalore
8,2025-07-04 08:10:40,6,0,18,30.0,DC_FAST,CCS,Mumbai
8,2025-07-10 11:40:40,6,0,23,30.0,DC_FAST,CCS,Mumbai
2,2025-07-10 19:11:40,8,0,38,25.5,DC_FAST,CCS,Bangalore
4,2025-07-07 20:25:40,12,0,66,28.0,DC_FAST,CHAdeMO,Gurugram
2,2025-07-04 16:08:40,8,0,40,25.5,DC_FAST,CCS,Bangalore
3,2025-07-09 05:09:40,6,0,24,12.0,AC_LEVEL1,Type2,Gurugram
7,2025-07-09 17:30:40,10,0,33,14.5,AC_LEVEL2,Type2,Mumbai
4,2025-07-07 21:27:40,12,0,46,28.0,DC_FAST,CHAdeMO,Gurugram
1,2025-07-09 00:13:40,10,0,37,15.0,AC_LEVEL2,Type2,Bangalore
5,2025-07-04 19:05:40,9,0,38,16.75,AC_LEVEL2,CCS,Hyderabad
5,2025-07-09 18:42:40,9,0,39,16.75,AC_LEVEL2,CCS,Hyderabad
6,2025-07-09 07:25:40,7,0,25,27.25,DC_FAST,Type2,Hyderabad
2,2025-07-06 06:15:40,8,0,37,25.5,DC_FAST,CCS,Bangalore
3,2025-07-04 13:34:40,6,0,27,12.0,AC_LEVEL1,Type2,Gurugram
1,2025-07-03 10:10:40,10,0,48,15.0,AC_LEVEL2,Type2,Bangalore
5,2025-07-07 23:57:40,9,0,33,16.75,AC_LEVEL2,CCS,Hyderabad
5,2025-07-08 20:52:40,9,0,41,16.75,AC_LEVEL2,CCS,Hyderabad
6,2025-07-08 01:15:40,7,0,32,27.25,DC_FAST,Type2,Hyderabad
8,2025-07-04 01:33:40,6,0,22,30.0,DC_FAST,CCS,Mumbai
6,2025-07-10 01:09:40,7,0,35,27.25,DC_FAST,Type2,Hyderabad
5,2025-07-11 02:53:40,9,0,35,16.75,AC_LEVEL2,CCS,Hyderabad
6,2025-07-06 01:40:40,7,0,36,27.25,DC_FAST,Type2,Hyderabad
7,2025-07-04 16:54:40,10,0,34,14.5,AC_LEVEL2,Type2,Mumbai
3,2025-07-04 04:17:40,6,0,29,12.0,AC_LEVEL1,Type2,Gurugram
4,2025-07-04 23:48:40,12,0,55,28.0,DC_FAST,CHAdeMO,Gurugram
2,2025-07-08 19:59:40,8,0,34,25.5,DC_FAST,CCS,Bangalore
6,2025-07-06 23:22:40,7,0,35,27.25,DC_FAST,Type2,Hyderabad
3,2025-07-05 00:56:40,6,0,21,12.0,AC_LEVEL1,Type2,Gurugram
5,2025-07-04 01:01:40,9,0,32,16.75,AC_LEVEL2,CCS,Hyderabad
2,2025-07-03 18:25:40,8,0,41,25.5,DC_FAST,CCS,Bangalore
8,2025-07-09 10:37:40,6,0,30,30.0,DC_FAST,CCS,Mumbai
7,2025-07-06 20:13:40,10,0,30,14.5,AC_LEVEL2,Type2,Mumbai
2,2025-07-09 08:35:40,8,0,30,25.5,DC_FAST,CCS,Bangalore
8,2025-07-07 23:06:40,6,0,33,30.0,DC_FAST,CCS,Mumbai
3,2025-07-06 01:22:40,6,0,17,12.0,AC_LEVEL1,Type2,Gurugram
4,2025-07-07 06:54:40,12,0,52,28.0,DC_FAST,CHAdeMO,Gurugram
6,2025-07-06 23:27:40,7,0,26,27.25,DC_FAST,Type2,Hyderabad
2,2025-07-04 16:32:40,8,0,32,25.5,DC_FAST,CCS,Bangalore
5,2025-07-04 22:37:40,9,0,43,16.75,AC_LEVEL2,CCS,Hyderabad
6,2025-07-09 12:59:40,7,0,31,27.25,DC_FAST,Type2,Hyderabad
7,2025-07-09 10:42:40,10,0,45,14.5,AC_LEVEL2,Type2,Mumbai
1,2025-07-04 06:08:40,10,0,47,15.0,AC_LEVEL2,Type2,Bangalore
4,2025-07-11 08:17:40,12,0,53,28.0,DC_FAST,CHAdeMO,Gurugram
4,2025-07-09 20:41:40,12,0,61,28.0,DC_FAST,CHAdeMO,Gurugram
6,2025-07-07 22:00:40,7,0,33,27.25,DC_FAST,Type2,Hyderabad
7,2025-07-07 14:01:40,10,0,41,14.5,AC_LEVEL2,Type2,Mumbai
7,2025-07-04 06:08:40,10,0,54,14.5,AC_LEVEL2,Type2,Mumbai
7,2025-07-11 02:59:40,10,0,43,14.5,AC_LEVEL2,Type2,Mumbai
6,2025-07-07 05:13:40,7,0,24,27.25,DC_FAST,Type2,Hyderabad
6,2025-07-10 02:34:40,7,0,23,27.25,DC_FAST,Type2,Hyderabad
2,2025-07-10 07:46:40,8,0,35,25.5,DC_FAST,CCS,Bangalore
1,2025-07-06 22:13:40,10,0,44,15.0,AC_LEVEL2,Type2,Bangalore
6,2025-07-06 17:04:40,7,0,26,27.25,DC_FAST,Type2,Hyderabad
7,2025-07-10 00:22:40,10,0,45,14.5,AC_LEVEL2,Type2,Mumbai
6,2025-07-05 05:15:40,7,0,28,27.25,DC_FAST,Type2,Hyderabad
6,2025-07-03 21:04:40,7,0,32,27.25,DC_FAST,Type2,Hyderabad
2,2025-07-10 08:54:40,8,0,43,25.5,DC_FAST,CCS,Bangalore
8,2025-07-06 03:26:40,6,0,29,30.0,DC_FAST,CCS,Mumbai
4,2025-07-06 15:34:40,12,0,49,28.0,DC_FAST,CHAdeMO,Gurugram
8,2025-07-09 12:06:40,6,0,31,30.0,DC_FAST,CCS,Mumbai
6,2025-07-06 17:46:40,7,0,29,27.25,DC_FAST,Type2,Hyderabad
3,2025-07-07 19:20:40,6,0,27,12.0,AC_LEVEL1,Type2,Gurugram
7,2025-07-04 14:26:40,10,0,41,14.5,AC_LEVEL2,Type2,Mumbai
5,2025-07-07 18:31:40,9,0,42,16.75,AC_LEVEL2,CCS,Hyderabad
1,2025-07-09 01:58:40,10,0,45,15.0,AC_LEVEL2,Type2,Bangalore
8,2025-07-07 02:54:40,6,0,23,30.0,DC_FAST,CCS,Mumbai
7,2025-07-07 00:24:40,10,0,43,14.5,AC_LEVEL2,Type2,Mumbai
3,2025-07-09 13:09:40,6,0,14,12.0,AC_LEVEL1,Type2,Gurugram
2,2025-07-06 18:22:40,8,0,42,25.5,DC_FAST,CCS,Bangalore
5,2025-07-05 23:52:40,9,0,38,16.75,AC_LEVEL2,CCS,Hyderabad
5,2025-07-04 05:13:40,9,0,36,16.75,AC_LEVEL2,CCS,Hyderabad
7,2025-07-09 08:21:40,10,0,43,14.5,AC_LEVEL2,Type2,Mumbai
8,2025-07-05 20:14:40,6,0,21,30.0,DC_FAST,CCS,Mumbai
6,2025-07-06 08:56:40,7,0,34,27.25,DC_FAST,Type2,Hyderabad
1,2025-07-06 04:02:40,10,0,48,15.0,AC_LEVEL2,Type2,Bangalore
4,2025-07-07 22:46:40,12,0,53,28.0,DC_FAST,CHAdeMO,Gurugram
2,2025-07-04 08:00:40,8,0,34,25.5,DC_FAST,CCS,Bangalore
7,2025-07-05 10:46:40,10,0,47,14.5,AC_LEVEL2,Type2,Mumbai
5,2025-07-03 22:03:40,9,0,48,16.75,AC_LEVEL2,CCS,Hyderabad
6,2025-07-10 18:27:40,7,0,34,27.25,DC_FAST,Type2,Hyderabad
2,2025-07-03 15:31:40,8,0,27,25.5,DC_FAST,CCS,Bangalore
5,2025-07-07 16:18:40,9,0,31,16.75,AC_LEVEL2,CCS,Hyderabad
8,2025-07-09 13:01:40,6,0,25,30.0,DC_FAST,CCS,Mumbai
2,2025-07-03 17:57:40,8,0,37,25.5,DC_FAST,CCS,Bangalore
6,2025-07-05 20:49:40,7,0,21,27.25,DC_FAST,Type2,Hyderabad
2,2025-07-11 05:36:40,8,0,38,25.5,DC_FAST,CCS,Bangalore
2,2025-07-05 10:00:40,8,0,40,25.5,DC_FAST,CCS,Bangalore
7,2025-07-04 04:52:40,10,0,40,14.5,AC_LEVEL2,Type2,Mumbai
7,2025-07-07 03:47:40,10,0,42,14.5,AC_LEVEL2,Type2,Mumbai
5,2025-07-04 02:28:40,9,0,41,16.75,AC_LEVEL2,CCS,Hyderabad
7,2025-07-05 08:50:40,10,0,43,14.5,AC_LEVEL2,Type2,Mumbai
8,2025-07-10 15:13:40,6,0,28,30.0,DC_FAST,CCS,Mumbai
3,2025-07-11 00:22:40,6,0,31,12.0,AC_LEVEL1,Type2,Gurugram
2,2025-07-07 07:36:40,8,0,35,25.5,DC_FAST,CCS,Bangalore
7,2025-07-07 19:32:40,10,0,41,14.5,AC_LEVEL2,Type2,Mumbai
4,2025-07-04 14:01:40,12,0,50,28.0,DC_FAST,CHAdeMO,Gurugram
2,2025-07-06 01:57:40,8,0,33,25.5,DC_FAST,CCS,Bangalore
1,2025-07-05 09:31:40,10,0,40,15.0,AC_LEVEL2,Type2,Bangalore
5,2025-07-09 12:21:40,9,0,44,16.75,AC_LEVEL2,CCS,Hyderabad
8,2025-07-04 03:58:40,6,0,32,30.0,DC_FAST,CCS,Mumbai
3,2025-07-08 22:39:40,6,0,24,12.0,AC_LEVEL1,Type2,Gurugram
7,2025-07-03 22:37:40,10,0,39,14.5,AC_LEVEL2,Type2,Mumbai
7,2025-07-10 06:41:40,10,0,53,14.5,AC_LEVEL2,Type2,Mumbai
3,2025-07-08 06:51:40,6,0,29,12.0,AC_LEVEL1,Type2,Gurugram
2,2025-07-05 22:05:40,8,0,36,25.5,DC_FAST,CCS,Bangalore
8,2025-07-09 09:52:40,6,0,31,30.0,DC_FAST,CCS,Mumbai
7,2025-07-09 21:14:40,10,0,49,14.5,AC_LEVEL2,Type2,Mumbai
3,2025-07-06 15:07:40,6,0,24,12.0,AC_LEVEL1,Type2,Gurugram
8,2025-07-09 00:54:40,6,0,28,30.0,DC_FAST,CCS,Mumbai
6,2025-07-10 05:05:40,7,0,39,27.25,DC_FAST,Type2,Hyderabad
7,2025-07-04 17:30:40,10,0,39,14.5,AC_LEVEL2,Type2,Mumbai
6,2025-07-06 14:27:40,7,0,30,27.25,DC_FAST,Type2,Hyderabad
3,2025-07-04 06:03:40,6,0,35,12.0,AC_LEVEL1,Type2,Gurugram
4,2025-07-06 06:54:40,12,0,51,28.0,DC_FAST,CHAdeMO,Gurugram
4,2025-07-06 22:18:40,12,0,59,28.0,DC_FAST,CHAdeMO,Gurugram
6,2025-07-04 16:01:40,7,0,34,27.25,DC_FAST,Type2,Hyderabad
1,2025-07-07 22:32:40,10,0,47,15.0,AC_LEVEL2,Type2,Bangalore
6,2025-07-04 12:29:40,7,0,38,27.25,DC_FAST,Type2,Hyderabad
3,2025-07-04 19:59:40,6,0,25,12.0,AC_LEVEL1,Type2,Gurugram
6,2025-07-03 13:50:40,7,0,35,27.25,DC_FAST,Type2,Hyderabad
1,2025-07-07 02:11:40,10,0,39,15.0,AC_LEVEL2,Type2,Bangalore
1,2025-07-07 12:33:40,10,0,43,15.0,AC_LEVEL2,Type2,Bangalore
1,2025-07-03 11:41:40,10,0,44,15.0,AC_LEVEL2,Type2,Bangalore
5,2025-07-08 20:00:40,9,0,37,16.75,AC_LEVEL2,CCS,Hyderabad
7,2025-07-09 05:40:40,10,0,40,14.5,AC_LEVEL2,Type2,Mumbai
8,2025-07-03 11:57:40,6,0,24,30.0,DC_FAST,CCS,Mumbai
6,2025-07-11 05:40:40,7,0,27,27.25,DC_FAST,Type2,Hyderabad
1,2025-07-06 15:18:40,10,0,42,15.0,AC_LEVEL2,Type2,Bangalore
1,2025-07-09 01:51:40,10,0,44,15.0,AC_LEVEL2,Type2,Bangalore
6,2025-07-09 03:13:40,7,0,36,27.25,DC_FAST,Type2,Hyderabad
6,2025-07-06 10:30:40,7,0,32,27.25,DC_FAST,Type2,Hyderabad
5,2025-07-09 20:43:40,9,0,43,16.75,AC_LEVEL2,CCS,Hyderabad
8,2025-07-07 05:52:40,6,0,33,30.0,DC_FAST,CCS,Mumbai
6,2025-07-06 17:35:40,7,0,35,27.25,DC_FAST,Type2,Hyderabad
2,2025-07-07 17:44:40,8,0,40,25.5,DC_FAST,CCS,Bangalore
2,2025-07-07 05:39:40,8,0,36,25.5,DC_FAST,CCS,Bangalore
4,2025-07-08 04:14:40,12,0,53,28.0,DC_FAST,CHAdeMO,Gurugram
2,2025-07-07 19:50:40,8,0,37,25.5,DC_FAST,CCS,Bangalore
7,2025-07-06 02:01:40,10,0,43,14.5,AC_LEVEL2,Type2,Mumbai
2,2025-07-04 21:58:40,8,0,32,25.5,DC_FAST,CCS,Bangalore
7,2025-07-04 03:21:40,10,0,44,14.5,AC_LEVEL2,Type2,Mumbai
7,2025-07-07 04:27:40,10,0,52,14.5,AC_LEVEL2,Type2,Mumbai
3,2025-07-04 18:55:40,6,0,24,12.0,AC_LEVEL1,Type2,Gurugram
4,2025-07-09 22:03:40,12,0,35,28.0,DC_FAST,CHAdeMO,Gurugram
4,2025-07-07 16:40:40,12,0,48,28.0,DC_FAST,CHAdeMO,Gurugram
2,2025-07-03 22:26:40,8,0,44,25.5,DC_FAST,CCS,Bangalore
4,2025-07-10 08:05:40,12,0,55,28.0,DC_FAST,CHAdeMO,Gurugram
6,2025-07-06 10:03:40,7,0,41,27.25,DC_FAST,Type2,Hyderabad
1,2025-07-09 17:25:40,10,0,48,15.0,AC_LEVEL2,Type2,Bangalore
3,2025-07-07 20:55:40,6,0,34,12.0,AC_LEVEL1,Type2,Gurugram
6,2025-07-04 05:20:40,7,0,32,27.25,DC_FAST,Type2,Hyderabad
2,2025-07-10 00:25:40,8,0,41,25.5,DC_FAST,CCS,Bangalore
5,2025-07-09 08:15:40,9,0,47,16.75,AC_LEVEL2,CCS,Hyderabad
7,2025-07-08 16:25:40,10,0,39,14.5,AC_LEVEL2,Type2,Mumbai
7,2025-07-09 20:14:40,10,0,44,14.5,AC_LEVEL2,Type2,Mumbai
3,2025-07-09 02:05:40,6,0,34,12.0,AC_LEVEL1,Type2,Gurugram
7,2025-07-06 04:53:40,10,0,46,14.5,AC_LEVEL2,Type2,Mumbai
2,2025-07-08 11:19:40,8,0,32,25.5,DC_FAST,CCS,Bangalore
3,2025-07-08 14:30:40,6,0,20,12.0,AC_LEVEL1,Type2,Gurugram
6,2025-07-05 12:49:40,7,0,30,27.25,DC_FAST,Type2,Hyderabad
5,2025-07-08 22:31:40,9,0,46,16.75,AC_LEVEL2,CCS,Hyderabad
8,2025-07-05 00:25:40,6,0,27,30.0,DC_FAST,CCS,Mumbai
3,2025-07-04 08:31:40,6,0,27,12.0,AC_LEVEL1,Type2,Gurugram
6,2025-07-04 14:36:40,7,0,32,27.25,DC_FAST,Type2,Hyderabad
2,2025-07-04 16:15:40,8,0,29,25.5,DC_FAST,CCS,Bangalore
5,2025-07-09 23:54:40,9,0,40,16.75,AC_LEVEL2,CCS,Hyderabad
8,2025-07-10 21:22:40,6,0,29,30.0,DC_FAST,CCS,Mumbai
1,2025-07-08 18:45:40,10,0,45,15.0,AC_LEVEL2,Type2,Bangalore
4,2025-07-08 03:29:40,12,0,51,28.0,DC_FAST,CHAdeMO,Gurugram
2,2025-07-07 21:17:40,8,0,35,25.5,DC_FAST,CCS,Bangalore
2,2025-07-08 22:55:40,8,0,31,25.5,DC_FAST,CCS,Bangalore
8,2025-07-04 18:43:40,6,0,25,30.0,DC_FAST,CCS,Mumbai
3,2025-07-03 19:12:40,6,0,31,12.0,AC_LEVEL1,Type2,Gurugram
1,2025-07-03 11:28:40,10,0,48,15.0,AC_LEVEL2,Type2,Bangalore
6,2025-07-08 17:45:40,7,0,44,27.25,DC_FAST,Type2,Hyderabad
1,2025-07-03 11:42:40,10,0,46,15.0,AC_LEVEL2,Type2,Bangalore
5,2025-07-03 14:26:40,9,0,42,16.75,AC_LEVEL2,CCS,Hyderabad
2,2025-07-10 10:11:40,8,0,41,25.5,DC_FAST,CCS,Bangalore
8,2025-07-08 19:42:40,6,0,26,30.0,DC_FAST,CCS,Mumbai
7,2025-07-09 07:03:40,10,0,53,14.5,AC_LEVEL2,Type2,Mumbai
5,2025-07-09 16:45:40,9,0,34,16.75,AC_LEVEL2,CCS,Hyderabad
3,2025-07-06 11:24:40,6,0,21,12.0,AC_LEVEL1,Type2,Gurugram
3,2025-07-08 17:38:40,6,0,28,12.0,AC_LEVEL1,Type2,Gurugram
3,2025-07-10 13:38:40,6,0,26,12.0,AC_LEVEL1,Type2,Gurugram
3,2025-07-04 15:10:40,6,0,26,12.0,AC_LEVEL1,Type2,Gurugram
7,2025-07-06 07:17:40,10,0,48,14.5,AC_LEVEL2,Type2,Mumbai
7,2025-07-08 22:04:40,10,0,46,14.5,AC_LEVEL2,Type2,Mumbai
5,2025-07-06 14:15:40,9,0,42,16.75,AC_LEVEL2,CCS,Hyderabad
5,2025-07-11 03:48:40,9,0,38,16.75,AC_LEVEL2,CCS,Hyderabad
2,2025-07-07 08:37:40,8,0,33,25.5,DC_FAST,CCS,Bangalore
5,2025-07-07 17:52:40,9,0,42,16.75,AC_LEVEL2,CCS,Hyderabad
8,2025-07-10 10:14:40,6,0,25,30.0,DC_FAST,CCS,Mumbai
1,2025-07-03 20:32:40,10,0,47,15.0,AC_LEVEL2,Type2,Bangalore
5,2025-07-07 18:35:40,9,0,38,16.75,AC_LEVEL2,CCS,Hyderabad
1,2025-07-10 15:30:40,10,0,50,15.0,AC_LEVEL2,Type2,Bangalore
6,2025-07-06 23:10:40,7,0,32,27.25,DC_FAST,Type2,Hyderabad
8,2025-07-06 21:57:40,6,0,28,30.0,DC_FAST,CCS,Mumbai
2,2025-07-07 01:11:40,8,0,34,25.5,DC_FAST,CCS,Bangalore
2,2025-07-08 02:07:40,8,0,28,25.5,DC_FAST,CCS,Bangalore
8,2025-07-10 12:19:40,6,0,26,30.0,DC_FAST,CCS,Mumbai
2,2025-07-10 03:37:40,8,0,32,25.5,DC_FAST,CCS,Bangalore
7,2025-07-10 22:16:40,10,0,44,14.5,AC_LEVEL2,Type2,Mumbai
2,2025-07-06 17:25:40,8,0,44,25.5,DC_FAST,CCS,Bangalore
8,2025-07-03 18:57:40,6,0,33,30.0,DC_FAST,CCS,Mumbai
4,2025-07-03 19:37:40,12,0,58,28.0,DC_FAST,CHAdeMO,Gurugram
8,2025-07-04 17:00:40,6,0,32,30.0,DC_FAST,CCS,Mumbai
8,2025-07-07 08:11:40,6,0,28,30.0,DC_FAST,CCS,Mumbai
4,2025-07-07 22:21:40,12,0,55,28.0,DC_FAST,CHAdeMO,Gurugram
7,2025-07-10 19:10:40,10,0,34,14.5,AC_LEVEL2,Type2,Mumbai
7,2025-07-10 04:59:40,10,0,47,14.5,AC_LEVEL2,Type2,Mumbai
8,2025-07-05 03:03:40,6,0,27,30.0,DC_FAST,CCS,Mumbai
2,2025-07-06 04:29:40,8,0,37,25.5,DC_FAST,CCS,Bangalore
6,2025-07-05 07:42:40,7,0,31,27.25,DC_FAST,Type2,Hyderabad
7,2025-07-05 05:55:40,10,0,40,14.5,AC_LEVEL2,Type2,Mumbai
3,2025-07-08 05:42:40,6,0,19,12.0,AC_LEVEL1,Type2,Gurugram
8,2025-07-11 01:09:40,6,0,28,30.0,DC_FAST,CCS,Mumbai
8,2025-07-10 09:31:40,6,0,29,30.0,DC_FAST,CCS,Mumbai
2,2025-07-07 14:59:40,8,0,32,25.5,DC_FAST,CCS,Bangalore
2,2025-07-03 23:18:40,8,0,39,25.5,DC_FAST,CCS,Bangalore
8,2025-07-04 16:13:40,6,0,33,30.0,DC_FAST,CCS,Mumbai
1,2025-07-07 06:35:40,10,0,41,15.0,AC_LEVEL2,Type2,Bangalore
8,2025-07-10 14:46:40,6,0,31,30.0,DC_FAST,CCS,Mumbai
3,2025-07-03 21:34:40,6,0,36,12.0,AC_LEVEL1,Type2,Gurugram
2,2025-07-05 08:20:40,8,0,36,25.5,DC_FAST,CCS,Bangalore
1,2025-07-10 21:34:40,10,0,49,15.0,AC_LEVEL2,Type2,Bangalore
4,2025-07-03 14:46:40,12,0,54,28.0,DC_FAST,CHAdeMO,Gurugram
7,2025-07-07 06:31:40,10,0,46,14.5,AC_LEVEL2,Type2,Mumbai
3,2025-07-04 00:42:40,6,0,19,12.0,AC_LEVEL1,Type2,Gurugram
2,2025-07-10 00:55:40,8,0,39,25.5,DC_FAST,CCS,Bangalore
4,2025-07-04 07:25:40,12,0,50,28.0,DC_FAST,CHAdeMO,Gurugram
5,2025-07-10 07:40:40,9,0,39,16.75,AC_LEVEL2,CCS,Hyderabad
4,2025-07-08 09:31:40,12,0,45,28.0,DC_FAST,CHAdeMO,Gurugram
3,2025-07-06 02:57:40,6,0,23,12.0,AC_LEVEL1,Type2,Gurugram
1,2025-07-05 23:59:40,10,0,43,15.0,AC_LEVEL2,Type2,Bangalore
2,2025-07-10 15:09:40,8,0,38,25.5,DC_FAST,CCS,Bangalore
6,2025-07-05 07:02:40,7,0,26,27.25,DC_FAST,Type2,Hyderabad
4,2025-07-04 03:05:40,12,0,56,28.0,DC_FAST,CHAdeMO,Gurugram
7,2025-07-06 01:35:40,10,0,42,14.5,AC_LEVEL2,Type2,Mumbai
5,2025-07-04 04:08:40,9,0,41,16.75,AC_LEVEL2,CCS,Hyderabad
5,2025-07-04 12:50:40,9,0,30,16.75,AC_LEVEL2,CCS,Hyderabad
5,2025-07-10 09:57:40,9,0,35,16.75,AC_LEVEL2,CCS,Hyderabad
2,2025-07-04 17:44:40,8,0,33,25.5,DC_FAST,CCS,Bangalore
3,2025-07-11 08:58:40,6,0,35,12.0,AC_LEVEL1,Type2,Gurugram
4,2025-07-05 08:03:40,12,0,49,28.0,DC_FAST,CHAdeMO,Gurugram
5,2025-07-03 23:00:40,9,0,43,16.75,AC_LEVEL2,CCS,Hyderabad
6,2025-07-05 20:22:40,7,0,30,27.25,DC_FAST,Type2,Hyderabad
4,2025-07-10 17:16:40,12,0,61,28.0,DC_FAST,CHAdeMO,Gurugram
7,2025-07-07 13:26:40,10,0,44,14.5,AC_LEVEL2,Type2,Mumbai
5,2025-07-07 18:24:40,9,0,44,16.75,AC_LEVEL2,CCS,Hyderabad
6,2025-07-04 12:05:40,7,0,39,27.25,DC_FAST,Type2,Hyderabad
1,2025-07-10 02:06:40,10,0,42,15.0,AC_LEVEL2,Type2,Bangalore
8,2025-07-05 06:34:40,6,0,20,30.0,DC_FAST,CCS,Mumbai
4,2025-07-06 15:22:40,12,0,53,28.0,DC_FAST,CHAdeMO,Gurugram
4,2025-07-06 20:32:40,12,0,54,28.0,DC_FAST,CHAdeMO,Gurugram
